i,s
0,0.906256
1,0.914039
2,0.894572
3,0.935154
4,0.920600
5,0.933489
6,0.918720
7,0.937364
8,0.917186
9,0.914918
10,0.926604
11,0.930289
12,0.964479
13,0.898869
14,0.899692
15,0.918378
16,0.901985
17,0.885923
18,0.900976
19,0.905217
20,0.919063
21,0.896436
22,0.928759
23,0.951653
24,0.901263
25,0.920191
26,0.928184
27,0.946680
28,0.934962
29,0.891087
30,0.932055
31,0.959081
32,0.888825
33,0.953357
34,0.923560
35,0.907795
36,0.963276
37,0.947623
38,0.888435
39,0.940627
40,0.908581
41,0.961311
42,0.929267
43,0.918912
44,0.887534
45,0.951852
46,0.920227
47,0.952236
48,0.915033
49,0.936007
50,0.936029
51,0.540843
52,0.456792
53,0.345436
54,0.289154
55,0.578759
56,0.362421
57,0.668363
58,0.291407
59,0.305556
60,0.359799
61,0.514285
62,0.285604
63,0.388485
64,0.296538
65,0.367839
66,0.344639
67,0.312244
68,0.290769
69,0.239017
70,0.275530
71,0.197955
72,0.235563
73,0.288199
74,0.226530
75,0.227597
76,0.231458
77,0.213225
78,0.222560
79,0.199509
80,0.264892
81,0.254000
82,0.267671
83,0.180709
84,0.212912
85,0.180343
86,0.219146
87,0.207109
88,0.241129
89,0.192090
90,0.206975
91,0.192363
92,0.237600
93,0.244794
94,0.245542
95,0.206049
96,0.260918
97,0.192527
98,0.245253
99,0.212269
100,0.273548
101,0.227662
102,0.226331
103,0.176685
104,0.243963
105,0.249650
106,0.208638
107,0.306220
108,0.255922
109,0.266922
110,0.328407
111,0.267812
112,0.239276
113,0.253416
114,0.208252
115,0.270473
116,0.225528
117,0.258844
118,0.276170
119,0.290496
120,0.270541
121,0.171548
122,0.223562
123,0.253491
124,0.253377
125,0.291282
126,0.244886
127,0.261500
