i,s
0,0.979862
1,0.965761
2,1.044226
3,1.000275
4,1.020101
5,0.950439
6,0.943166
7,1.020617
8,0.948821
9,0.958618
10,0.965119
11,0.996628
12,0.399579
13,0.471313
14,0.975547
15,0.916946
16,0.826055
17,0.284818
18,0.434482
19,0.382370
20,0.299229
21,0.869162
22,0.316011
23,0.522093
24,0.557679
25,0.315493
26,0.346666
27,0.343018
28,0.263645
29,0.268289
30,0.247908
31,0.274189
32,0.254145
33,0.417251
34,0.282121
35,0.304591
36,0.249407
37,0.288484
38,0.204533
39,0.200913
40,0.239886
41,0.240927
42,0.179423
43,0.365550
44,0.231882
45,0.207983
46,0.180091
47,0.222906
48,0.228061
49,0.189100
50,0.265026
51,0.188104
52,0.206490
53,0.205430
54,0.164488
55,0.286944
56,0.175475
57,0.163037
58,0.158523
59,0.221485
60,0.200928
61,0.226959
62,0.231351
63,0.175592
64,0.192981
65,0.205182
66,0.184278
67,0.197261
68,0.199434
69,0.182094
70,0.167981
71,0.202331
72,0.231491
73,0.211563
74,0.149118
75,0.177857
76,0.220794
77,0.228484
78,0.203676
79,0.186755
80,0.177455
81,0.190576
82,0.182880
83,0.168623
84,0.239705
85,0.227793
86,0.182577
87,0.163397
88,0.251511
89,0.176240
90,0.237728
91,0.226425
92,0.239164
93,0.171218
94,0.179588
95,0.179357
96,0.255868
97,0.168806
98,0.267188
99,0.230848
100,0.204646
101,0.211464
102,0.151067
103,0.208766
104,0.160620
105,0.212759
106,0.199271
107,0.212666
108,0.179396
109,0.165539
110,0.167799
111,0.248185
112,0.151242
113,0.205544
114,0.231906
115,0.220349
116,0.195689
117,0.189258
118,0.245004
119,0.217154
120,0.209886
121,0.217646
122,0.167342
123,0.223150
124,0.168316
125,0.153074
126,0.223735
127,0.177149
